nazwa_cwiczenia,nazwa_angielska,zrodlo,kategoria,poziom_trudnosci,pozycja_wyjsciowa,potrzebny_sprzet,liczba_powtorzen,czas_trwania_sekund,strony_ciala,ruch_glowny,wspomagane_krzeslem,mozna_w_lozku,mozna_siedzac,wymaga_stania,wymaga_podlogi,zalecane_schorzenia,przeciwwskazania,cel_terapeutyczny,wplyw_na_rownowage,wplyw_na_sile,wplyw_na_elastycznosc,wplyw_na_kardio,wplyw_na_postawe,intensywnosc,uwagi_bezpieczenstwa,opis_wykonania
Ściskanie piłki o ścianę,Wall Squishes,Ball-Exercises-for-Seniors.pdf,siła,łatwy,stojąca,ściana + mała piłka,10-15 (1-2 serie),,dolne plecy i core,wciskanie piłki plecami w ścianę,nie,nie,nie,tak,nie,ból dolnych pleców,,stabilizacja dolnych pleców,niski,wysoki,niski,niski,wysoki,niska,Znaleźć punkt stałego napięcia,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: ściana + mała piłka. Następnie wykonuj ruch główny: wciskanie piłki plecami w ścianę. Wykonaj około 10-15 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Znaleźć punkt stałego napięcia. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wypychanie i wykrok,Push Step and Lunge,Ball-Exercises-for-Seniors.pdf,siła_równowaga,średni,stojąca,BOSU,10 na stronę,,"nogi, biodra, core",wykrok na kopułkę,nie,nie,nie,tak,nie,słabe nogi,,siła nóg i równowaga,wysoki,wysoki,niski,niski,niski,niska,Wariacja: wykrok z ugięciem,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: BOSU. Następnie wykonuj ruch główny: wykrok na kopułkę. Wykonaj około 10 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Wariacja: wykrok z ugięciem. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Ćwiczenia ramion z piłką (siad),Seated Arm Exercises,Ball-Exercises-for-Seniors.pdf,siła_mobilność,łatwy,siedząca,krzesło + piłka,10,30 sek okrężne,"ramiona, core, tułów",unoszenie/okrężne ruchy/skręty z piłką,tak,nie,tak,nie,nie,słabe ramiona,,siła ramion i koordynacja,niski,wysoki,niski,niski,niski,niska,Zestaw kilku ruchów pod rząd,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło + piłka. Następnie wykonuj ruch główny: unoszenie/okrężne ruchy/skręty z piłką. Wykonaj około 10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 30 sek okrężne sekund. Zwróć uwagę na bezpieczeństwo: Zestaw kilku ruchów pod rząd. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Stanie na BOSU (postawa bazowa),Basic Stance on BOSU,Ball-Exercises-for-Seniors.pdf,równowaga,średni,stojąca,BOSU,,,całe ciało,stanie na niestabilnej powierzchni,nie,nie,nie,tak,nie,zaawansowana praca nad równowagą,zawroty głowy; poważna niestabilność,propriocepcja i równowaga,wysoki,niski,niski,niski,niski,niska,Pierwsze razy przy ścianie,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: BOSU. Następnie wykonuj ruch główny: stanie na niestabilnej powierzchni. Zwróć uwagę na bezpieczeństwo: Pierwsze razy przy ścianie. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Krążki Bosunowe – crunche,Bosu Crunches,Ball-Exercises-for-Seniors.pdf,siła_core,średni,leżąca na BOSU,BOSU,10-25,,brzuch,brzuszki na BOSU,nie,nie,nie,nie,tak,słaby brzuch,ból dolnych pleców – ostrożność,wzmocnienie brzucha,niski,wysoki,niski,niski,niski,niska,Usiąść bliżej krawędzi dla podparcia pleców,"Przyjmij pozycję wyjściową: leżąca na BOSU. Przygotuj sprzęt: BOSU. Następnie wykonuj ruch główny: brzuszki na BOSU. Wykonaj około 10-25 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Usiąść bliżej krawędzi dla podparcia pleców. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Stanie na jednej nodze (balans),Single Leg Stance,Balance-Exercises-for-Seniors.pdf,równowaga,łatwy,stojąca,krzesło opcjonalnie,,,nogi i tułów,balans jednopodporowy,opcjonalnie,nie,nie,tak,nie,profilaktyka upadków,,równowaga statyczna,wysoki,średni,niski,niski,niski,niska,Wzrok przed siebie pomaga w balansie,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło opcjonalnie. Następnie wykonuj ruch główny: balans jednopodporowy. Zwróć uwagę na bezpieczeństwo: Wzrok przed siebie pomaga w balansie. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Dosięgnięcie zegarowe,Clock Reach,Balance-Exercises-for-Seniors.pdf,równowaga,średni,stojąca,krzesło,5-10 na stronę,,"nogi, tułów, ramiona",stanie na jednej nodze z ruchem ręki,tak,nie,nie,tak,nie,zaawansowane ćwiczenia równowagi,,dynamiczna równowaga,wysoki,średni,niski,niski,niski,niska,Noga uniesiona przez cały ruch ręki,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: stanie na jednej nodze z ruchem ręki. Wykonaj około 5-10 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Noga uniesiona przez cały ruch ręki. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Postawa przesunięta,Staggered Stance,Balance-Exercises-for-Seniors.pdf,równowaga,łatwy,stojąca,ściana lub krzesło opcjonalnie,,,nogi,tandemowe stanie (pięta do palców),opcjonalnie,nie,nie,tak,nie,profilaktyka upadków,,równowaga w pozycji zredukowanej podstawy,wysoki,niski,niski,niski,niski,niska,Zaczynać od 10 sek; zwiększać do minuty,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: ściana lub krzesło opcjonalnie. Następnie wykonuj ruch główny: tandemowe stanie (pięta do palców). Zwróć uwagę na bezpieczeństwo: Zaczynać od 10 sek; zwiększać do minuty. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Śledzenie wzrokiem,Eye Tracking,Balance-Exercises-for-Seniors.pdf,równowaga,łatwy,siedząca,krzesło,,,oczy i głowa,ruch kciuka z oczami nieruchomą głową,tak,nie,tak,nie,nie,zawroty głowy; problemy z błędnikiem,,propriocepcja wzrokowa,wysoki,niski,niski,niski,niski,bardzo niska,Głowa nieruchoma; tylko oczy,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: ruch kciuka z oczami nieruchomą głową. Zwróć uwagę na bezpieczeństwo: Głowa nieruchoma; tylko oczy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Balansowanie laską,Balancing Wand,Balance-Exercises-for-Seniors.pdf,równowaga_koordynacja,łatwy,siedząca,krzesło + laska lub długi przedmiot,,,ramię i tułów,balansowanie pionowego przedmiotu na dłoni,tak,nie,tak,nie,nie,zaburzenia równowagi; koordynacja,,koordynacja i równowaga,wysoki,niski,niski,niski,niski,niska,Mieć kogoś do podniesienia laski jeśli trudno wstać,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło + laska lub długi przedmiot. Następnie wykonuj ruch główny: balansowanie pionowego przedmiotu na dłoni. Zwróć uwagę na bezpieczeństwo: Mieć kogoś do podniesienia laski jeśli trudno wstać. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Kołysanie łodzią (zaawansowane),Rock the Boat,Balance-Exercises-for-Seniors.pdf,równowaga,łatwy,stojąca,krzesło,5-10 na stronę,do 10 sek,"nogi, biodra",unoszenie nogi w bok z trzymaniem krzesła,tak,nie,nie,tak,nie,profilaktyka upadków,,równowaga dynamiczna,wysoki,średni,niski,niski,niski,niska,Progresja: jedną ręką; bez trzymania,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: unoszenie nogi w bok z trzymaniem krzesła. Wykonaj około 5-10 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około do 10 sek sekund. Zwróć uwagę na bezpieczeństwo: Progresja: jedną ręką; bez trzymania. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Chód po linie,Tightrope Walk,Balance-Exercises-for-Seniors.pdf,równowaga_chód,łatwy,stojąca,ściana opcjonalnie,,,nogi,chód po wyobrażonej linii,nie,nie,nie,tak,nie,profilaktyka upadków,,równowaga dynamiczna,wysoki,niski,niski,niski,niski,niska,Patrzyć prosto przed siebie nie w dół,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: ściana opcjonalnie. Następnie wykonuj ruch główny: chód po wyobrażonej linii. Zwróć uwagę na bezpieczeństwo: Patrzyć prosto przed siebie nie w dół. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie pięty na BOSU,Bosu Unilateral Heel Raise,Balance-Exercises-for-Seniors.pdf,równowaga,średni,stojąca,BOSU,5-10,,"łydki, równowaga",wspięcie na palce na jednej nodze na BOSU,nie,nie,nie,tak,nie,zaawansowana praca nad równowagą,,propriocepcja i siła łydek,wysoki,wysoki,niski,niski,niski,niska,Jedną stopą na BOSU; druga z tyłu,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: BOSU. Następnie wykonuj ruch główny: wspięcie na palce na jednej nodze na BOSU. Wykonaj około 5-10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Jedną stopą na BOSU; druga z tyłu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie palców na padzie,Balance Pad Toes Raises,Balance-Exercises-for-Seniors.pdf,równowaga,średni,stojąca,poduszka równoważna,10-15 na nogę,,"kostki, stopy",unoszenie stopy na padzie,nie,nie,nie,tak,nie,zaawansowana praca nad równowagą,,propriocepcja i siła kostek,wysoki,wysoki,niski,niski,niski,niska,Stopy blisko siebie na padzie,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: poduszka równoważna. Następnie wykonuj ruch główny: unoszenie stopy na padzie. Wykonaj około 10-15 na nogę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Stopy blisko siebie na padzie. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Marsz na padzie,Balance Pad March,Balance-Exercises-for-Seniors.pdf,równowaga_kardio,średni,stojąca,poduszka równoważna,do minuty,,"nogi, core",marsz na niestabilnej powierzchni,nie,nie,nie,tak,nie,zaawansowana praca nad równowagą,,propriocepcja i siła nóg,wysoki,wysoki,niski,średni,niski,niska,Łokcie ugięte pod 90 stopni jako przeciwwaga,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: poduszka równoważna. Następnie wykonuj ruch główny: marsz na niestabilnej powierzchni. Wykonaj około do minuty powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Łokcie ugięte pod 90 stopni jako przeciwwaga. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Napięcie mięśni tylnych uda,Hamstring Sets,Bed-Exercises-for-Elderly.pdf,siła,łatwy,leżąca na plecach,łóżko,,,tylne udo,naciskanie pięty w materac,nie,tak,nie,nie,nie,rekonwalescencja; ograniczona mobilność,,wzmocnienie mięśni tylnych uda,niski,wysoki,niski,niski,niski,bardzo niska,Bez ruchu nogi,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: naciskanie pięty w materac. Zwróć uwagę na bezpieczeństwo: Bez ruchu nogi. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Napięcie czworogłowego,Quad Sets,Bed-Exercises-for-Elderly.pdf,siła,łatwy,leżąca na plecach,łóżko,,,czworogłowy,napinanie mięśnia uda bez ruchu,nie,tak,nie,nie,nie,ból kolan; rekonwalescencja,,aktywacja czworogłowego,niski,wysoki,niski,niski,niski,bardzo niska,Naciskać kolano w materac,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: napinanie mięśnia uda bez ruchu. Zwróć uwagę na bezpieczeństwo: Naciskać kolano w materac. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Odwodzenie biodra (leżąc),Hip Abduction,Bed-Exercises-for-Elderly.pdf,siła,łatwy,leżąca na plecach,łóżko,,,odwodziciele biodra,rozsuwanie nogi na bok,nie,tak,nie,nie,nie,rekonwalescencja; słabe biodra,,wzmocnienie bioder,niski,wysoki,niski,niski,niski,bardzo niska,Palce i kolano w sufit,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: rozsuwanie nogi na bok. Zwróć uwagę na bezpieczeństwo: Palce i kolano w sufit. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie prostej nogi,Straight Leg Raise,Bed-Exercises-for-Elderly.pdf,siła,łatwy,leżąca na plecach,łóżko,,,czworogłowy i biodra,unoszenie prostej nogi,nie,tak,nie,nie,nie,ból kolan; rekonwalescencja,,wzmocnienie nóg,niski,wysoki,niski,niski,niski,bardzo niska,15-20 cm ponad materac,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: unoszenie prostej nogi. Zwróć uwagę na bezpieczeństwo: 15-20 cm ponad materac. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Mostek (łóżko),Bridge,Bed-Exercises-for-Elderly.pdf,siła,łatwy,leżąca na plecach,łóżko,,,pośladki i dolne plecy,mostek z unoszeniem bioder,nie,tak,nie,nie,nie,ból dolnych pleców; rekonwalescencja,,wzmocnienie pośladków,niski,wysoki,niski,niski,niski,bardzo niska,Brzuch napięty; kontrolowane ruchy,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: mostek z unoszeniem bioder. Zwróć uwagę na bezpieczeństwo: Brzuch napięty; kontrolowane ruchy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rotacja lędźwi,Lower Trunk Rotation,Bed-Exercises-for-Elderly.pdf,elastyczność_plecy,łatwy,leżąca na plecach,łóżko,,,dolna część pleców i biodra,opadanie kolan na boki,nie,tak,nie,nie,nie,sztywność dolnych pleców,,rozluźnienie i ruchomość dolnych pleców,niski,niski,wysoki,niski,wysoki,bardzo niska,Plecy płasko przez cały czas,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: opadanie kolan na boki. Zwróć uwagę na bezpieczeństwo: Plecy płasko przez cały czas. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Kolano do klatki piersiowej,Knee to Chest,Bed-Exercises-for-Elderly.pdf,elastyczność,łatwy,leżąca na plecach,łóżko,,,dolna część pleców i biodra,przyciąganie kolana do klatki,nie,tak,nie,nie,nie,ból dolnych pleców; sztywność,,rozciągnięcie dolnych pleców,niski,niski,wysoki,niski,niski,bardzo niska,Trzymać 20-30 sek; zmiana strony,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: przyciąganie kolana do klatki. Zwróć uwagę na bezpieczeństwo: Trzymać 20-30 sek; zmiana strony. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Pompowanie kostek,Ankle Pumps,Bed-Exercises-for-Elderly.pdf,mobilność_krążenie,łatwy,leżąca na plecach,łóżko,,,kostki i stopy,zginanie i prostowanie stóp,nie,tak,nie,nie,nie,długotrwałe leżenie; zakrzepica (profilaktyka),,poprawa krążenia w kończynach,niski,niski,wysoki,niski,niski,bardzo niska,Proste ćwiczenie po operacji lub długim leżeniu,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: zginanie i prostowanie stóp. Zwróć uwagę na bezpieczeństwo: Proste ćwiczenie po operacji lub długim leżeniu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie ramion nad głowę (leżąc),Overhead Shoulder Flexion,Bed-Exercises-for-Elderly.pdf,mobilność_ramiona,łatwy,leżąca na plecach,łóżko,,,ramiona i barki,unoszenie ramion nad głowę w leżeniu,nie,tak,nie,nie,nie,ograniczona mobilność ramion,,ruchomość barku,niski,niski,wysoki,niski,niski,bardzo niska,Łokcie proste; plecy płasko,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: unoszenie ramion nad głowę w leżeniu. Zwróć uwagę na bezpieczeństwo: Łokcie proste; plecy płasko. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie nadgarstka,Wrist Stretch,Bed-Exercises-for-Elderly.pdf,elastyczność,łatwy,leżąca na plecach,łóżko,,,nadgarstki,zginanie dłoni ku przedramieniu,nie,tak,nie,nie,nie,zapalenie stawów; ból nadgarstka,,ruchomość nadgarstka,niski,niski,wysoki,niski,niski,bardzo niska,Trzymać 20-30 sek w każdą stronę,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: zginanie dłoni ku przedramieniu. Zwróć uwagę na bezpieczeństwo: Trzymać 20-30 sek w każdą stronę. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie szyi,Neck Stretch,Bed-Exercises-for-Elderly.pdf,elastyczność,łatwy,leżąca na plecach,łóżko,,,szyja,skłon ucha do ramienia,nie,tak,nie,nie,nie,napięcie szyi; ból karku,,ruchomość szyi,niski,niski,wysoki,niski,niski,bardzo niska,Opcjonalnie lekki nacisk dłonią,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: skłon ucha do ramienia. Zwróć uwagę na bezpieczeństwo: Opcjonalnie lekki nacisk dłonią. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Tylne pochylenie miednicy,Posterior Pelvic Tilt,Bed-Exercises-for-Elderly.pdf,postura_core,łatwy,leżąca na plecach,łóżko,,,dolne plecy i brzuch,naciskanie lędźwi w materac,nie,tak,nie,nie,nie,ból dolnych pleców; zła postura,,aktywacja mięśni głębokich brzucha,niski,wysoki,niski,niski,wysoki,bardzo niska,Podstawa wszystkich ćwiczeń core,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: naciskanie lędźwi w materac. Zwróć uwagę na bezpieczeństwo: Podstawa wszystkich ćwiczeń core. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Marsz w leżeniu,Supine March,Bed-Exercises-for-Elderly.pdf,siła_core,łatwy,leżąca na plecach,łóżko,,,brzuch i biodra,naprzemienne unoszenie kolan,nie,tak,nie,nie,nie,słaby core; rekonwalescencja,,siła core i bioder,niski,wysoki,niski,niski,wysoki,bardzo niska,Brzuch napięty przed uniesieniem nogi,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: naprzemienne unoszenie kolan. Zwróć uwagę na bezpieczeństwo: Brzuch napięty przed uniesieniem nogi. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Napięcie pośladków,Glute Set,Bed-Exercises-for-Elderly.pdf,siła,łatwy,leżąca na plecach,łóżko,,,pośladki,izometryczne napięcie pośladków,nie,tak,nie,nie,nie,rekonwalescencja; słabe pośladki,,aktywacja pośladków,niski,wysoki,niski,niski,niski,bardzo niska,Trzymać 5 sekund,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: izometryczne napięcie pośladków. Zwróć uwagę na bezpieczeństwo: Trzymać 5 sekund. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie z taśmą,Band Pull Aparts,Bed-Exercises-for-Elderly.pdf,siła_postura,łatwy,leżąca na plecach,łóżko + taśma oporowa,,,górna część pleców i łopatki,rozciąganie taśmy w poziomie,nie,tak,nie,nie,nie,zła postura; ból górnych pleców,,wzmocnienie górnych pleców,niski,wysoki,niski,niski,wysoki,bardzo niska,Łopatki do siebie przy rozciąganiu,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko + taśma oporowa. Następnie wykonuj ruch główny: rozciąganie taśmy w poziomie. Zwróć uwagę na bezpieczeństwo: Łopatki do siebie przy rozciąganiu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Skośne unoszenie ramienia,Diagonal Shoulder Flexion,Bed-Exercises-for-Elderly.pdf,siła_mobilność,łatwy,leżąca lub stojąca,taśma oporowa,,,bark i ramię,skośne unoszenie ramienia po przekątnej,nie,tak,nie,nie,nie,problemy z barkiem; rekonwalescencja,,siła i ruchomość barku,niski,wysoki,wysoki,niski,niski,niska,Łokieć prosty przez ruch,"Przyjmij pozycję wyjściową: leżąca lub stojąca. Przygotuj sprzęt: taśma oporowa. Następnie wykonuj ruch główny: skośne unoszenie ramienia po przekątnej. Zwróć uwagę na bezpieczeństwo: Łokieć prosty przez ruch. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Muszle,Clamshells,Bed-Exercises-for-Elderly.pdf,siła,łatwy,leżąca na boku,taśma oporowa,,,biodra zewnętrzne i pośladki,otwieranie kolan jak muszla,nie,tak,nie,nie,nie,ból bioder; słabe pośladki,,wzmocnienie bioder i pośladków,niski,wysoki,niski,niski,niski,bardzo niska,Stopy razem; biodra ułożone jedno na drugim,"Przyjmij pozycję wyjściową: leżąca na boku. Przygotuj sprzęt: taśma oporowa. Następnie wykonuj ruch główny: otwieranie kolan jak muszla. Zwróć uwagę na bezpieczeństwo: Stopy razem; biodra ułożone jedno na drugim. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Postawa góry,Standing Straight: Mountain Pose,Posture-Exercises-for-Seniors.pdf,postura,łatwy,stojąca,brak,,,całe ciało,prawidłowa postawa w staniu,nie,nie,nie,tak,nie,zła postura; garb,,świadomość postawy i stabilizacja,niski,niski,niski,niski,wysoki,bardzo niska,Budować postawę od stóp w górę,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: prawidłowa postawa w staniu. Zwróć uwagę na bezpieczeństwo: Budować postawę od stóp w górę. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Siedzenie prosto (wyprost kręgosłupa),Sitting Straight: Spinal Extensions,Posture-Exercises-for-Seniors.pdf,postura,łatwy,siedząca,krzesło,10,,,wyprost kręgosłupa w siadzie,tak,nie,tak,nie,nie,zła postura przy siedzeniu,,prawidłowa postura przy siedzeniu,niski,niski,niski,niski,wysoki,bardzo niska,Koronę głowy ku sufitowi,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: wyprost kręgosłupa w siadzie. Wykonaj około 10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Koronę głowy ku sufitowi. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Ściskanie łopatek (postura),Shoulder Squeezes,Posture-Exercises-for-Seniors.pdf,postura,łatwy,stojąca,brak,10-20 (1-2 serie),,,ściskanie łopatek do siebie,nie,nie,nie,tak,nie,garb; pochylenie do przodu,,poprawa postawy,niski,wysoki,niski,niski,wysoki,bardzo niska,Wyobrazić sobie ołówek między łopatkami,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: ściskanie łopatek do siebie. Wykonaj około 10-20 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Wyobrazić sobie ołówek między łopatkami. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie ramion w poziomie (postura),Arm Ups,Posture-Exercises-for-Seniors.pdf,postura_siła,łatwy,stojąca lub siedząca,brak,10 (1-2 serie),,ramiona i górna część pleców,unoszenie łokci do wysokości barków,nie,nie,tak,nie,nie,garb; ból górnych pleców,,poprawa postawy,niski,wysoki,niski,niski,wysoki,bardzo niska,Łopatki do siebie przy unoszeniu,"Przyjmij pozycję wyjściową: stojąca lub siedząca. Następnie wykonuj ruch główny: unoszenie łokci do wysokości barków. Wykonaj około 10 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Łopatki do siebie przy unoszeniu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Ściąganie łopatkowe z brodą do klatki,Chin Tucks,Posture-Exercises-for-Seniors.pdf,postura,łatwy,stojąca lub siedząca,brak,,,szyja i górna część pleców,cofanie głowy poziomo,nie,nie,tak,nie,nie,forward head posture; ból karku,,korekcja ułożenia głowy,niski,niski,niski,niski,wysoki,bardzo niska,Wyobrazić sobie robienie podwójnego podbródka,"Przyjmij pozycję wyjściową: stojąca lub siedząca. Następnie wykonuj ruch główny: cofanie głowy poziomo. Zwróć uwagę na bezpieczeństwo: Wyobrazić sobie robienie podwójnego podbródka. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
